classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
jpetstore.domain.Account,0.000000,41.000000,0.000000,0.500000,36.000000,0.000000,0.000000,134.000000,19.000000,EAID_CF18179F_0B12_40e1_AEE5_200C51562CB1
jpetstore.domain.Cart,2.000000,18.000000,25.000000,0.212500,10.000000,0.000000,5.000000,63.000000,3.000000,EAID_42200E2E_0AE2_4e52_80D6_7AB2A6927B7B
jpetstore.domain.CartItem,1.000000,27.000000,4.000000,0.266667,9.000000,0.000000,4.000000,42.000000,5.000000,EAID_A317C1EE_6CFC_442b_B7F7_9715E776BF4A
jpetstore.domain.Category,0.000000,9.000000,0.000000,0.714286,7.000000,0.000000,0.000000,30.000000,4.000000,EAID_ADEA233A_C303_4488_A994_7EF3F31C11DE
jpetstore.domain.Item,1.000000,32.000000,5.000000,0.296000,25.000000,0.000000,5.000000,95.000000,14.000000,EAID_ABBD4F09_BCF6_43ee_BFB6_224B4F700FD6
jpetstore.domain.LineItem,2.000000,14.000000,10.000000,0.205357,16.000000,0.000000,7.000000,69.000000,8.000000,EAID_174B2DF0_6A2F_448e_AD0B_9A246A54BD3D
jpetstore.domain.Order,4.000000,25.000000,21.000000,0.154386,57.000000,0.000000,0.000000,238.000000,28.000000,EAID_44682E47_1BA8_4da7_9442_9155E4E5ED0C
jpetstore.domain.Product,0.000000,19.000000,0.000000,0.722222,9.000000,0.000000,0.000000,37.000000,5.000000,EAID_C2D7FA81_79B5_45cb_A908_F0A45E615A03
jpetstore.domain.Sequence,0.000000,3.000000,0.000000,0.375000,6.000000,0.000000,0.000000,25.000000,3.000000,EAID_FA12CED6_9E78_43e0_AD46_AEA2163ED8D9
jpetstore.service.AccountService,1.000000,6.000000,6.000000,0.400000,5.000000,0.000000,6.000000,32.000000,1.000000,EAID_FF6C246B_A4AE_4775_BFA9_0A8C62BD5C63
jpetstore.service.CatalogService,3.000000,14.000000,7.000000,0.175926,9.000000,0.000000,7.000000,49.000000,3.000000,EAID_1D023B7A_6E5B_4a20_A67E_023CC1589ED6
jpetstore.service.OrderService,4.000000,4.000000,22.000000,0.260000,5.000000,0.000000,9.000000,69.000000,4.000000,EAID_958768BF_97AE_4533_A470_7AE68E0C0602
jpetstore.web.actions.AbstractActionBean,0.000000,21.000000,0.000000,0.555556,3.000000,0.000000,0.000000,21.000000,3.000000,EAID_D9B2E202_254A_4fe1_9E0D_118D16411761
jpetstore.web.actions.AccountActionBean,6.000000,7.000000,42.000000,0.166667,18.000000,1.000000,20.000000,117.000000,11.000000,EAID_76F5C028_BFFC_4e58_B36E_73B4B6EB76EC
jpetstore.web.actions.CartActionBean,5.000000,4.000000,27.000000,0.244444,9.000000,1.000000,14.000000,76.000000,6.000000,EAID_4A9B6FA8_F6D8_46b8_B860_1941D5D7C757
jpetstore.web.actions.CatalogActionBean,5.000000,4.000000,33.000000,0.153846,26.000000,1.000000,23.000000,135.000000,17.000000,EAID_6C5910C8_EC4D_454c_88F4_EB27C1FDDCC5
jpetstore.web.actions.OrderActionBean,7.000000,0.000000,46.000000,0.180952,15.000000,1.000000,16.000000,118.000000,12.000000,EAID_FAFF51A1_CB85_4ad8_8105_A9DEFC5E3E11
